indTarget,Funciona,target,targetMAYUS,oracion,significado1,palabras mal usadas,Contexto1,significado2,palabras mal usadas,Contexto2,Significado3,palabras mal usadas,Contexto3,,Prompts
10,,mango,MANGO,Carlos tuvo que ir a comprar un mango a último momento.,Frutas,No encontrado,"La combinación de salsas dulces en preparaciones saladas agrega una explosión de sabores contrastantes y deliciosos. Las salsas dulces pueden realzar el sabor de carnes, verduras y otros platos salados, aportando dulzor que equilibra los sabores y añade un toque de originalidad a las comidas.",Herramienta,No encontrado,"El cuchillo era una joya en manos de Nicolás. Con su filo cuidado y elegante empuñadura, contaba una historia de habilidad artesanal y pasión por el diseño. Era su compañero fiel en cada aventura culinaria, llenando su cocina de destreza y estilo.",Fútbol,No encontrado,"Lionel Andrés Messi es un deportista argentino que juega como delantero o centrocampista. Jugador histórico del Barcelona, al que estuvo ligado veinte años, integra el plantel del PSG de Francia desde 2021. Es también internacional con la selección de Argentina, equipo del que es capitán.",,
11,,copa,COPA,Inés agarró la copa mientras el resto la miraban felizmente.,Fútbol,No encontrado,"Los campeones son aquellos que destacan en una competencia o actividad. Son personas que se esfuerzan, trabajan duro y tienen una mentalidad ganadora. Los campeones inspiran y motivan a otros a seguir sus pasos y a luchar por sus metas y sueños. ",Cocina,No encontrado,"La vajilla es un conjunto de utensilios que se utilizan para comer y servir alimentos. Puede ser de diversos materiales como vidrio, cerámica, porcelana, acero inoxidable o plástico.",Derecho,No encontrado,"La facultad de presentar proyectos de ley corresponde a los diputados, senadores y al presidente de la Nación. La última reforma constitucional incorporó también la figura de iniciativa popular, que permite a los ciudadanos presentar proyectos de ley ante la Cámara de Diputados, siempre que cumplan con los requisitos que determina la ley. ",,
12,,arco,ARCO,A medida que avanzaba iba viendo cómo el arco se hacía más grande.,Fútbol,No encontrado,"Con el corazón en la boca, Irene observa con los ojos clavados en la pantalla la definición  de la final del Mundial. La tensión se corta con un grito de alegría cuando Argentina convierte y se lleva la victoria en un emocionante desenlace.",Arquitectura,No encontrado,"Al llegar a París, el viajero ansioso desplegó su mapa de la ciudad y trazó un itinerario para visitar los principales atractivos turísticos. Con emoción, comenzó su recorrido, cautivado por la belleza y la historia de la Ciudad Luz.",Militar,No encontrado,"El cuartel de policía se erguía imponente en el centro de la ciudad, con sus altos muros de ladrillo y las ventanas vigilantes. Dentro, se palpaba la tensión en el aire mientras los agentes se preparaban para enfrentar la oscuridad y proteger a la comunidad.",,
13,0,penal,PENAL,Cuando a José le tocó el momento del penal se lo notaba nervioso.,Fútbol,No encontrado,"Cuando un jugador le comete una infracción a otro esto puede resultar en una sanción con amarilla o roja. Las faltas más comunes son empujar, sujetar, cargar, golpear o patear a un jugador contrario. ",Derecho,No encontrado,"Los juicios orales son dinámicos y cautivadores. Los abogados argumentan apasionadamente, mientras los jueces escuchan atentamente. El ambiente es tenso, con testimonios impactantes y la resolución inminente.",Indumentaria,red,"Una camiseta es una prenda de ropa de abrigo por lo general de mangas cortas, cuello redondo o en forma de ""V"". Existen diversos diseños, que varían algunas de sus características básicas",,
14,,pico,PICO,Al ver el pico tan cerca le pareció más grande de lo que esperaba.,Geografía,No encontrado,"La punta de una montaña es el punto más alto de una elevación natural del terreno. A menudo, alcanzar la cima de una montaña es un desafío para los alpinistas y excursionistas que buscan la sensación de logro y la impresionante vista panorámica desde la cima.",Herramienta,No encontrado,"Los mineros a principios del siglo XX trabajaban en condiciones difíciles, enfrentando peligros como la falta de ventilación, la exposición a sustancias tóxicas y el riesgo de derrumbes.",Vegetales,No encontrado,"La fotosíntesis es el proceso químico que se produce en las plantas, las algas y algunos tipos de bacterias cuando se exponen a la luz del sol.",,
15,,cabo,CABO,No había quedado nadie alrededor del cabo cuando cayó el atardecer.,Geografía,No encontrado,"Las formaciones geológicas en las costas marinas son variadas y fascinantes. Entre ellas, destacan los acantilados, las grutas y las playas. Estas formaciones son el resultado de la acción constante del mar y los elementos naturales a lo largo de millones de años.",Militar,No encontrado,"El sargento se presentó ante su superior, con voz firme y seria, para denunciar el hecho que había presenciado en su ronda. La tensión en la sala era palpable mientras explicaba los detalles de lo ocurrido, esperando una acción rápida y justa por parte de su jefe.",Física,No encontrado,"Las leyes de Newton, también conocidas como leyes del movimiento de Newton, ​ son tres principios a partir de los cuales se explican una gran parte de los problemas planteados en mecánica clásica.",,
16,,sierra,SIERRA,"Hacía mucho tiempo que tenía a esa sierra en mente, era su objetivo.",Geografía,No encontrado,"En geología, una elevación de terreno con una cresta angosta y larga es comúnmente encontrada en zonas montañosas. Esta forma geológica se caracteriza por su altura, pendiente empinada y cresta afilada, a menudo siendo resultado de procesos tectónicos.",Herramienta,No encontrado,"El olor a madera fresca impregnaba el aire en la carpintería recién inaugurada. El ruido de los martillos resonaba en el taller mientras los carpinteros daban vida a sus creaciones. La emoción era palpable en el ambiente, con la promesa de proyectos emocionantes y clientes satisfechos en el horizonte.",Cuerpo,No encontrado,"El peroné es una estructura formada por tejido óseo, que tiene como características anatómicas ser prolongado y estrecho. Este hueso está ubicado entre la rodilla y el tobillo, y se conecta con la tibia y con el astrágalo para formar distintas articulaciones.",,
17,,cólera,CÓLERA,El período de cólera tuvo graves consecuencias para Darío.,Medicina,No encontrado,"Existen diversas enfermedades causadas por bacterias que afectan al ser humano, como la neumonía, la tuberculosis, la meningitis y la salmonelosis, entre otras. Estas enfermedades pueden ser tratadas con antibióticos, pero es importante tomar medidas preventivas.",Emociones,No encontrado,"La pelea estalló en plena calle cuando el automovilista chocó al peatón. Empezaron a gritarse, gesticulando con furia mientras la gente se frenaba a mirarlos. La tensión se palpaba en el aire, hasta que finalmente llegó la mediación de la policía para calmar los ánimos.",Herramienta,No encontrado,"El martillo es utilizado para golpear directamente o indirectamente​ una pieza, causando su desplazamiento. Su uso más común suele ser para clavar, calzar partes, o romper una pieza. ",,
18,,buzo,BUZO,Victoria se descuidó un minuto y no vió cuando el buzo cayó al agua.,Indumentaria,No encontrado,Las prendas de abrigo son esenciales en bajas temperaturas. Hay muchas opciones de estilo y material para adaptarse a diferentes actividades y gustos personales.,Deporte,No encontrado,"La brisa marina acariciaba su rostro mientras se sumergía en las aguas cristalinas. Descubrió un mundo de colores y vida submarina, una experiencia fascinante que lo dejó maravillado.",Campo,No encontrado,"La antigua tranquera de madera se alzaba imponente en el paisaje rural. Su superficie gastada por el tiempo contaba historias de innumerables entradas y salidas. Cerrada, guardaba celosamente el paso hacia un mundo de verdes prados y promesas de paz.",,
19,,sostén,SOSTÉN,Era el único sostén que tenía Laura.,Indumentaria,No encontrado,La ropa interior femenina es una prenda íntima que se usa debajo de la ropa exterior. Suele estar diseñada para ajustarse al cuerpo femenino y proporcionar comodidad y soporte.,Familia,No encontrado,"La presencia de un sistema de apoyo puede ayudar a aliviar el estrés, mejorar la autoestima y aumentar la resiliencia en momentos difíciles. Un ambiente de comprensión también puede fomentar la comunicación y las relaciones saludables.",Transporte,No encontrado,"Los tranvías circulan sobre rieles y por la superficie en áreas urbanas, en las propias calles, a menudo sin separación del resto de la circulación, sin vía ni senda o sector reservado.",,
20,,taco,TACO,Lucía supo que todo había terminado cuando el taco tocó el suelo.,Indumentaria,No encontrado,"El calzado femenino abarca una amplia variedad de estilos. La elección del calzado puede depender de factores como la ocasión, la comodidad y el estilo personal. La elección del calzado adecuado es importante para la salud del pie y la postura del cuerpo.",Comida,pico,"El guacamole cautiva los sentidos con su explosión de sabores y colores. Su base es de palta, que se mezcla con tomate fresco, cebolla y cilantro. Es un deleite para el paladar, perfecto para acompañar los típicos platos mexicanos.",Energía,No encontrado,El voltaje​ es una magnitud que cuantifica la diferencia de potencial eléctrico entre dos puntos. Éste es independiente del camino recorrido por la carga y depende exclusivamente del potencial eléctrico de dichos puntos,,
21,,pluma,PLUMA,"Mientras Héctor la miraba fijamente, la pluma cayó al suelo.",Librería,No encontrado,"La madre entró con una sonrisa en el rostro al local, emocionada por preparar a su hijo para el nuevo año escolar. Se tomó su tiempo eligiendo lápices, cuadernos y crayones, imaginando la emoción de su hijo al recibirlos.",Animales,lima,"Las aves se caracterizan por tener alas. Son ovíparos, es decir, que ponen huevos para reproducirse. Además, son capaces de realizar vuelos y muchas especies migran grandes distancias en busca de alimento y clima adecuado.",Familia,No encontrado,"Un hijo o una hija es el descendiente directo de una persona. Los hijos pueden ser biológicos o fruto de la adopción. Si hay más de un hijo, se denominan hermanos entre ellos.",,
23,0,regla,REGLA,Clara estaba segura de que su regla no estaba rota.,Librería,No encontrado,"En una clase de geometría, los útiles escolares son herramientas esenciales para el aprendizaje y práctica de los conceptos geométricos. Estos útiles permiten a los estudiantes medir, dibujar y construir figuras geométricas con precisión.",Derecho,No encontrado,"Las leyes y disposiciones de una jurisdicción son regulaciones que rigen la conducta y actividades dentro de un territorio.  Las leyes pueden establecer las obligaciones de los ciudadanos, así como las consecuencias legales por su incumplimiento. ",Geografía,No encontrado,Los deltas se forman en la desembocadura de un río en un lago o en el mar a través de los sedimentos que deposita la corriente. Estos están compuestos por un cúmulo de brazos fluviales formados por los sedimentos que transporta el propio río.,,
24,,goma,GOMA,La superficie había quedado marcada por la goma elegida.,Librería,No encontrado,"En el momento en que descubrió su error en sus apuntes intentó corregirlo. Rápidamente tomó su lápiz, borró el error y anotó la corrección al margen. ",Mecánica,No encontrado,"Las carreras de autos requieren una meticulosa ingeniería en los talleres mecánicos para las paradas técnicas. Los equipos utilizan estrategias precisas y herramientas especializadas para realizar cambios rápidos de neumáticos, reabastecer combustible y hacer ajustes técnicos en los vehículos.",Mobiliario,red,"La mesa es un mueble compuesto de un tablero horizontal liso y sostenido a la altura conveniente, generalmente por una o varias patas, para diferentes usos. ​ Puede ser cuadrada, redonda o rectangular etc.",,
25,,raíz,RAÍZ,A pesar de todo no era posible encontrar la raíz que estaban buscando.,Matemática,No encontrado,"La potenciación es una operación que implica elevar un número a una potencia o exponente. Es una herramienta fundamental utilizada para representar el crecimiento o decrecimiento exponencial, calcular áreas o volúmenes, y resolver ecuaciones algebraicas.",Vegetales,No encontrado,"El tallo es la columna vertebral de las plantas. Tiene una corteza protectora y una médula conductora, por la cual se conducen los materiales nutritivos. Es una estructura vital que permite el crecimiento y la fortaleza de las plantas.",Animales,No encontrado,"El perro, de pelaje dorado y ojos vivaces, corría libre por el parque. Su cola se movía con entusiasmo mientras jugaba con una pelota. Alegre y leal, alegraba los corazones de quienes se cruzaban con su mirada amigable y su ladrido contagioso.",,
26,0,cuarto,CUARTO,No estaba conforme con el cuarto que le había tocado.,Matemática,No encontrado,Las fracciones son una forma de representar una cantidad que es una parte de un todo. Consisten en un numerador que representa la cantidad deseada y un denominador que indica el total de partes iguales en el todo. ,Hotelería,No encontrado,"Los hoteles son establecimientos que ofrecen alojamiento a viajeros y turistas, brindando servicios de hospedaje, alimentación y entretenimiento. Los hoteles pueden variar en tamaño, ubicación, categoría y precio, desde pequeñas posadas rurales hasta grandes cadenas hoteleras en las principales ciudades del mundo.",Librería,red,"Justo antes de irse a dormir Bautista recordó que necesita un mapa político A3 para la escuela al día siguiente. Con desesperación, buscó en casa, pero no encontró. Al otro día su madre consiguió uno a primera hora.",,
27,0,medio,MEDIO,"Esa noche Rodrigo se encontró en el medio, sin saber qué hacer.",Matemática,No encontrado,"Los números racionales son aquellos números que se pueden expresar como el cociente o división de dos números enteros. Incluyen a los números enteros y a las fracciones. Se utilizan de formas muy diversas, como en la representación de cantidades, medidas, y cálculos en la vida cotidiana.",Ubicación,estado,"El ambiente natural se refiere al entorno en su estado original y sin intervención humana significativa. Incluye elementos como el aire, el agua, el suelo, la flora, la fauna y los ecosistemas. Juega un papel fundamental en la vida de las especies, incluyendo a los humanos. ",Festividades,No encontrado,"La familia se reúne en Argentina para celebrar las navidades. La casa está llena de risas, abrazos y aromas deliciosos. Juntos, disfrutan de asados al aire libre, intercambio de regalos y momentos inolvidables alrededor del árbol de Navidad.",,
28,,cuenta,CUENTA,Andrea miró su cuenta y no tenía los valores que esperaba.,Matemática,No encontrado,"Las ecuaciones son expresiones que establecen una igualdad entre dos términos o expresiones, con una o más incógnitas. Se utilizan para modelar y resolver problemas en diversas áreas de la ciencia y la ingeniería, permitiendo encontrar soluciones numéricas o algebraicas para las incógnitas involucradas.",Economía,No encontrado,"Las cajas de ahorros son instituciones financieras que brindan servicios de ahorro y depósito a personas y empresas. Ofrecen opciones para guardar dinero, generar intereses y acceder a servicios bancarios básicos.",Clima,nota,"La Patagonia tiene una temperatura templada a frío, que disminuyen notablemente de norte a sur. Siendo así que, en promedio, el sur patagónico presenta hasta 10 °C menos que el norte.",,
29,,nota,NOTA,Iván los miró antes de dar la nota que estaban esperando.,Música,No encontrado,"La escritura en pentagrama utiliza símbolos para representar la duración y altura de los sonidos. Estos símbolos se colocan en las líneas y espacios del pentagrama. Es una herramienta fundamental para compositores, arreglistas, e intérpetes.",Educación,No encontrado,"Los resultados de una evaluación brindan información sobre el desempeño, logros o competencias alcanzadas por un individuo o grupo en un área específica. Los resultados pueden reflejar fortalezas, áreas de mejora y orientar futuras acciones.",Deporte,deporte,"El curling, hispanizado como curlin, ​ es un deporte de precisión y de equipo, con alguna similitud con los bolos ingleses, bolas criollas y a la petanca, que se practica en una pista de hielo.",,
30,,órgano,ÓRGANO,"Por temor a perderlo, Víctor cuidaba su órgano con mucho esfuerzo.",Música,No encontrado,"Al entrar a la iglesia, los sonidos de los cánticos, las campanas y el eco reverberando en el techo generaron en él una sensación abrumadora. Se sintió inmerso en una atmósfera sagrada.",Medicina,No encontrado,"La anatomía interna de los vertebrados incluye a los sistemas especializados para funciones vitales como la digestión, circulación, respiración y reproducción. Los vertebrados tienen una estructura corporal compleja que se adapta a su entorno y estilo de vida.",Pesca,pesca,"La pesca con mosca es una modalidad de pesca que utiliza una caña y señuelo artificial llamado mosca. La pesca con mosca se practica usualmente en lagos, ríos y en el mar. También es conocida como pesca con cola de rata.",,
31,0,batería,BATERÍA,Todo andaba muy bien gracias a la batería nueva que habían comprado.,Música,No encontrado,"El tema resonaba en sus oídos con una base rítmica impecable, cada acorde y compás en perfecta armonía. El ritmo fluía suavemente, creando un sonido cautivador que lo transportó a un momento de placer y deleite auditivo.",Energía,No encontrado,"Los autos del futuro son vehículos sostenibles y eficientes que utilizan tecnología avanzada para su funcionamiento, ofreciendo una alternativa ecológica y silenciosa a los combustibles tradicionales.",Geografía,No encontrado,"Un río es una corriente de agua que fluye con continuidad por un cauce en la superficie terrestre o bien puede ser subterráneo. Pueden ser tanto naturales como artificiales. Posee un caudal determinado, rara vez es constante a lo largo del año, y desemboca en el mar, en un lago o en otro río, en cuyo caso se denomina afluente.",,
32,,izquierda,IZQUIERDA,Luis estaba más a la izquierda de lo que quería.,Política,No encontrado,"El origen de la democracia moderna se remonta a las antiguas polis griegas. A través del debate y la participación ciudadana, los atenienses sentaron las bases del sistema democrático.",Ubicación,No encontrado,"El giro de un auto en una intersección, con o sin semáforo, implica un cambio de dirección en la vía. Requiere precaución y obediencia a las señales de tránsito, como semáforos y señales de alto. Factores como la velocidad, visibilidad, tráfico y semáforos en verde o rojo afectan la seguridad y eficiencia del giro en una intersección.",Comida,No encontrado,"El asado, barbacoa, parrilla o parrillada es una técnica de cocción mediante la cual los alimentos (generalmente cortes de carne) son expuestos al calor de fuego o brasas para que se cocinen lentamente. El calor se transmite gradualmente al alimento, que por lo general está suspendido sobre el fuego o cerca de las brasas. ",,
33,,partido,PARTIDO,Recordó el histórico partido del que le hablaba su abuelo.,Política,No encontrado,"Las elecciones se acercaban rápidamente. La ciudadanía estaba ansiosa y la atmósfera era eléctrica. Los candidatos competían ferozmente, haciendo promesas y presentando sus ideas de futuro.",Fútbol,No encontrado,"El histórico enfrentamiento entre River Plate y Boca Juniors en la final de la Libertadores 2018 en Madrid fue una batalla épica que reunió a miles de fanáticos en un estadio cargado de emoción, culminando en una victoria inolvidable para River en tierras lejanas.",Religión,No encontrado,"La Ciudad del Vaticano, una ciudad ubicada dentro de Roma, Italia, es la sede central de la Iglesia Católica Romana. Es el hogar del Papa y es un tesoro de la arquitectura y el arte icónicos.",,
34,0,campaña,CAMPAÑA,"Desde antes de empezarla, esa campaña ya era un fracaso.",Política,No encontrado,"El candidato subió al estrado con seguridad, micrófono en mano. Miró a la multitud expectante y expuso apasionadamente sus ideas para el futuro del país. Sus palabras resonaron en el auditorio, generando aplausos y ovaciones.",Campo,No encontrado,"En lo alto de la montaña, el campamento se asentaba en un claro rodeado de pinos. Las fogatas iluminaban las caras sonrientes de los aventureros mientras compartían historias junto a la luz de las estrellas. ",Festividades,No encontrado,"La Pascua​ de Resurrección es la fiesta central del cristianismo, ​​ en la que se conmemora la resurrección de Jesucristo al tercer día después de haber sido crucificado, de acuerdo con los evangelios canónicos.",,
35,,estado,ESTADO,"Para Elsa, el estado era desastroso.",Política,No encontrado,"A lo largo de la historia, las naciones se forjaron a través de complejos procesos de evolución social y cultural. Las naciones actuales se han moldeado a través de un intrincado tejido de eventos que han dejado una huella indeleble en su formación.",Emociones,No encontrado,"Tras un encuentro apasionante, Jaime colapsó exhausto en el césped, respirando agitadamente. Sus piernas temblaban, el sudor empapaba su camiseta y su corazón latía desbocado. La euforia del juego se mezclaba con la fatiga, y una sonrisa de satisfacción se dibujaba en su rostro.",Matemática,No encontrado,"Los logaritmos fueron introducidos por John Napier a principios del siglo xvii como una simplificación de los cálculos y fueron prontamente adoptados por científicos, ingenieros, banqueros y otros para realizar operaciones fácil y rápidamente, usando tablas de logaritmos.",,
36,,pastor,PASTOR,El pastor caminaba mientras cantaba alegremente.,Religión,No encontrado,"El líder religioso, vestido con túnicas sagradas, se dirigía a su comunidad con voz serena y persuasiva. Sus seguidores lo escuchaban con admiración, cautivados por sus palabras de sabiduría y esperanza. ",Campo,No encontrado,"El dueño de la estancia, con su sombrero de vaquero y botas embarradas, supervisaba a sus animales. Conocía cada rincón de su terreno y cuidaba con dedicación a las crías. El trabajo duro y la pasión por la naturaleza lo hacían feliz y orgulloso de su labor.",Economía,estado,"El Fondo Monetario Internacional es una organización financiera internacional con sede en Estados Unidos. Nació en 1944 luego de la Segunda Guerra Mundial, entrando en vigor oficialmente el 27 de diciembre de 1945 con 29 países miembros con el objetivo de reconstruir el sistema monetario internacional. ",,
37,,oración,ORACIÓN,Pronunció a viva voz la oración del día.,Religión,No encontrado,"El cura subió al púlpito con su breviario en mano y comenzó a leer la homilía diaria en la iglesia. Con su voz pausada y cálida, inspiraba a su congregación con sabias palabras de esperanza y fe.",Linguistica,No encontrado,"Las estructuras gramaticales son como los cimientos de un edificio. Son la base sólida que sostiene el lenguaje, permitiendo que las palabras y frases se entrelacen en una armonía de significado.",Vegetales,hoja,"La espinaca es una planta anual, dioica, de la familia de las amarantáceas, cultivada como verdura por sus hojas comestibles, grandes y de color verde muy oscuro. Su cultivo se puede realizar en cualquier época del año y se puede consumir fresca, cocida o frita. ",,
38,,función,FUNCIÓN,Ya había visto esa función en algún otro lado.,Teatro,No encontrado,"La cortina se abrió, pero los actores olvidaron sus líneas, el escenógrafo confundió los decorados y el sonido se cortó. La audiencia murmuró incómoda, los actores se tambaleaban en el escenario, y la escena se convirtió en un caos improvisado. ",Matemática,No encontrado,"Guillermo, el chico más aplicado de la clase, resolvía ecuaciones con soltura. Pero, esa mañana, se sentía desafiado por un problema complicado. Con determinación, analizó cada paso y encontró la solución.",Ubicación,No encontrado,"El gato se asusta repentinamente y se esconde debajo de la mesa, con los ojos bien abiertos y el corazón latiendo rápido. Busca refugio en la penumbra, esperando que pase el peligro y recuperando su calma poco a poco.",,
39,,obra,OBRA,Gabriela le comentó que la obra le pareció muy prolija.,Teatro,No encontrado,"Desde los antiguos griegos hasta las modernas producciones de Broadway, la dramaturgia ha evolucionado a lo largo de la historia. Ha sido un escenario para la creatividad, la expresión y la narración de historias.",Construccion,No encontrado,"La construcción de edificios es un proceso complejo que involucra la planificación, diseño, materiales, y la labor de constructores y arquitectos. Desde rascacielos imponentes hasta edificios históricos, la construcción requiere habilidades técnicas, creatividad y trabajo en equipo para crear estructuras funcionales y estéticas que forman parte del paisaje urbano.",Emociones,No encontrado,"El señor no puede contener su alegría al presenciar la graduación de su hijo. Con lágrimas en los ojos y una sonrisa radiante, aplaude emocionado mientras su orgulloso hijo recibe su título universitario.",,
