,wordID,meaningID,contextID,combinationID,target,significado,oracion,Contexto
18,4,2,3,3204,palma,"[('palmera', 83), ('tropical', 68), ('caribe', 34), ('vegetal', 26), ('verde', 15)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,El 11 de noviembre de 1951 las mujeres argentinas pudieron ejercer por primera vez a nivel nacional su derecho al voto y a ser elegidas representantes. 
19,4,2,2,2204,palma,"[('palmera', 83), ('tropical', 68), ('caribe', 34), ('vegetal', 26), ('verde', 15)]",Enzo movió la palma muy rápido para evitar que hiciera ruido.,La playa caribeña se presenta como un paraíso tropical con aguas cristalinas de tonos turquesa y arenas blancas como el azúcar. Los hermosos corales y una exuberante variedad de plantas completan el escenario de este paraíso tropical.
20,5,1,3,3105,peso,"[('moneda', 67), ('dinero', 62), ('plata', 51), ('billete', 27), ('valor', 16)]",Al llegar a destino notaron que el peso había bajado fuertemente.,"El AK-47 es un fusil de asalto soviético. Fue el fusil oficial de la Unión Soviética en la década del 60. En diciembre de 2007, llegó a ser el arma de fuego de mayor producción de la historia, con cerca de 80 millones de unidades manufacturadas."
21,5,1,1,1105,peso,"[('moneda', 67), ('dinero', 62), ('plata', 51), ('billete', 27), ('valor', 16)]",Al llegar a destino notaron que el peso había bajado fuertemente.,"A pesar de los esfuerzos para estabilizar a nuestro país, la pandemia de COVID-19 ha agravado la situación y ha llevado a una caída en la actividad y un aumento del desempleo y la pobreza."
26,6,2,3,3206,banco,"[('asiento', 77), ('sentarse', 56), ('silla', 55), ('plaza', 35), ('parque', 17)]",A Lara le gustaba ese banco porque le traía buenos recuerdos.,"Mientras observaba detenidamente, pude ver cómo esa persona sujetaba la manzana con delicadeza. Con cada mordisco, se podía apreciar su satisfacción en cada expresión facial y el sonido crujiente que llenaba el aire. Cada bocado era un placer, una danza de sabores en su boca."
27,6,2,2,2206,banco,"[('asiento', 77), ('sentarse', 56), ('silla', 55), ('plaza', 35), ('parque', 17)]",A Lara le gustaba ese banco porque le traía buenos recuerdos.,"Una plaza es un espacio público al aire libre destinado al ocio, la recreación y el encuentro social. Pueden tener diferentes diseños, como jardines, estatuas, fuentes, etc. Son lugares donde las personas pueden relajarse, hacer ejercicio, jugar y disfrutar de la naturaleza. También son utilizadas para eventos culturales y políticos."
28,7,1,3,3107,tarjeta,"[('crédito', 70), ('dinero', 53), ('pago', 50), ('débito', 24), ('préstamo', 14)]",Miguel le dió la tarjeta en la mano a Elena.,"El cemento es un conglomerante formado a partir de una mezcla de caliza y arcilla calcinadas y posteriormente molidas, que tiene la propiedad de endurecerse después de ponerse en contacto con el agua. "
29,7,1,1,1107,tarjeta,"[('crédito', 70), ('dinero', 53), ('pago', 50), ('débito', 24), ('préstamo', 14)]",Miguel le dió la tarjeta en la mano a Elena.,"Los métodos de pago son las diversas opciones que se utilizan para realizar transacciones financieras. Existen varios tipos, y cada uno tiene sus ventajas y desventajas en términos de seguridad, rapidez, costos y comodidad. "
36,9,1,3,3109,lima,"[('cítrico', 57), ('fruta', 40), ('ácido', 37), ('limón', 34), ('caipirinha', 12)]",Ana se acordó de comprar la lima de camino a su casa.,"Hamlet es una tragedia del dramaturgo inglés William Shakespeare.​ El año concreto en que fue escrita sigue aún en disputa, cuestión que se complica porque se han conservado a la época actual tres versiones tempranas de la misma."
37,9,1,1,1109,lima,"[('cítrico', 57), ('fruta', 40), ('ácido', 37), ('limón', 34), ('caipirinha', 12)]",Ana se acordó de comprar la lima de camino a su casa.,"Refrescantes y nutritivos, los jugos exprimidos son una deliciosa manera de obtener vitaminas y minerales esenciales. Sus beneficios para la salud incluyen hidratación, aporte de antioxidantes y fortalecimiento del sistema inmunológico."
38,9,2,3,3209,lima,"[('herramienta', 85), ('limar', 74), ('lija', 49), ('metal', 43), ('taller', 23)]",Ana se acordó de comprar la lima de camino a su casa.,"Hamlet es una tragedia del dramaturgo inglés William Shakespeare.​ El año concreto en que fue escrita sigue aún en disputa, cuestión que se complica porque se han conservado a la época actual tres versiones tempranas de la misma."
39,9,2,2,2209,lima,"[('herramienta', 85), ('limar', 74), ('lija', 49), ('metal', 43), ('taller', 23)]",Ana se acordó de comprar la lima de camino a su casa.,"El carpintero, con su delantal lleno de aserrín, se esforzaba por completar su trabajo. Con martillo en mano y ojos enfocados en los detalles, no descansaría hasta que cada pieza encajara perfectamente en su lugar, orgulloso de su habilidad y dedicación."
40,10,1,3,3110,mango,"[('fruta', 81), ('tropical', 71), ('jugoso', 37), ('pulpa', 28), ('caribe', 21)]",Carlos tuvo que ir a comprar un mango a último momento.,"Lionel Andrés Messi es un deportista argentino que juega como delantero o centrocampista. Jugador histórico del Barcelona, al que estuvo ligado veinte años, integra el plantel del PSG de Francia desde 2021. Es también internacional con la selección de Argentina, equipo del que es capitán."
41,10,1,1,1110,mango,"[('fruta', 81), ('tropical', 71), ('jugoso', 37), ('pulpa', 28), ('caribe', 21)]",Carlos tuvo que ir a comprar un mango a último momento.,"La combinación de salsas dulces en preparaciones saladas agrega una explosión de sabores contrastantes y deliciosos. Las salsas dulces pueden realzar el sabor de carnes, verduras y otros platos salados, aportando dulzor que equilibra los sabores y añade un toque de originalidad a las comidas."
46,11,2,3,3211,copa,"[('vaso', 64), ('bebida', 63), ('cristal', 59), ('vino', 31), ('fiesta', 21)]",Inés agarró la copa mientras el resto la miraban felizmente.,"La facultad de presentar proyectos de ley corresponde a los diputados, senadores y al presidente de la Nación. La última reforma constitucional incorporó también la figura de iniciativa popular, que permite a los ciudadanos presentar proyectos de ley ante la Cámara de Diputados, siempre que cumplan con los requisitos que determina la ley. "
47,11,2,2,2211,copa,"[('vaso', 64), ('bebida', 63), ('cristal', 59), ('vino', 31), ('fiesta', 21)]",Inés agarró la copa mientras el resto la miraban felizmente.,"La vajilla es un conjunto de utensilios que se utilizan para comer y servir alimentos. Puede ser de diversos materiales como vidrio, cerámica, porcelana, acero inoxidable o plástico."
52,13,1,3,3113,penal,"[('fútbol', 85), ('gol', 77), ('deporte', 70), ('punto', 21), ('corner', 10)]",Cuando a José le tocó el momento del penal se lo notaba nervioso.,"Una camiseta es una prenda de ropa de abrigo por lo general de mangas cortas, cuello redondo o en forma de ""V"". Existen diversos diseños, que varían algunas de sus características básicas"
53,13,1,1,1113,penal,"[('fútbol', 85), ('gol', 77), ('deporte', 70), ('punto', 21), ('corner', 10)]",Cuando a José le tocó el momento del penal se lo notaba nervioso.,"Cuando un jugador le comete una infracción a otro esto puede resultar en una sanción con amarilla o roja. Las faltas más comunes son empujar, sujetar, cargar, golpear o patear a un jugador contrario. "
56,14,1,3,3114,pico,"[('cima', 61), ('montaña', 60), ('cumbre', 56), ('altura', 47), ('monte', 7)]",Al ver el pico tan cerca le pareció más grande de lo que esperaba.,"La fotosíntesis es el proceso químico que se produce en las plantas, las algas y algunos tipos de bacterias cuando se exponen a la luz del sol."
57,14,1,1,1114,pico,"[('cima', 61), ('montaña', 60), ('cumbre', 56), ('altura', 47), ('monte', 7)]",Al ver el pico tan cerca le pareció más grande de lo que esperaba.,"La punta de una montaña es el punto más alto de una elevación natural del terreno. A menudo, alcanzar la cima de una montaña es un desafío para los alpinistas y excursionistas que buscan la sensación de logro y la impresionante vista panorámica desde la cima."
58,14,2,3,3214,pico,"[('herramientas', 79), ('picar', 76), ('golpear', 59), ('martillo', 28), ('hacha', 8)]",Al ver el pico tan cerca le pareció más grande de lo que esperaba.,"La fotosíntesis es el proceso químico que se produce en las plantas, las algas y algunos tipos de bacterias cuando se exponen a la luz del sol."
59,14,2,2,2214,pico,"[('herramientas', 79), ('picar', 76), ('golpear', 59), ('martillo', 28), ('hacha', 8)]",Al ver el pico tan cerca le pareció más grande de lo que esperaba.,"Los mineros a principios del siglo XX trabajaban en condiciones difíciles, enfrentando peligros como la falta de ventilación, la exposición a sustancias tóxicas y el riesgo de derrumbes."
62,15,2,3,3215,cabo,"[('militar', 91), ('soldado', 69), ('tropa', 55), ('infantería', 37), ('sargento', 17)]",No había quedado nadie alrededor del cabo cuando cayó el atardecer.,"Las leyes de Newton, también conocidas como leyes del movimiento de Newton, ​ son tres principios a partir de los cuales se explican una gran parte de los problemas planteados en mecánica clásica."
63,15,2,2,2215,cabo,"[('militar', 91), ('soldado', 69), ('tropa', 55), ('infantería', 37), ('sargento', 17)]",No había quedado nadie alrededor del cabo cuando cayó el atardecer.,"El sargento se presentó ante su superior, con voz firme y seria, para denunciar el hecho que había presenciado en su ronda. La tensión en la sala era palpable mientras explicaba los detalles de lo ocurrido, esperando una acción rápida y justa por parte de su jefe."
66,16,2,3,3216,sierra,"[('herramienta', 80), ('serrucho', 75), ('taller', 37), ('metal', 30), ('madera', 23)]","Hacía mucho tiempo que tenía a esa sierra en mente, era su objetivo.","El peroné es una estructura formada por tejido óseo, que tiene como características anatómicas ser prolongado y estrecho. Este hueso está ubicado entre la rodilla y el tobillo, y se conecta con la tibia y con el astrágalo para formar distintas articulaciones."
67,16,2,2,2216,sierra,"[('herramienta', 80), ('serrucho', 75), ('taller', 37), ('metal', 30), ('madera', 23)]","Hacía mucho tiempo que tenía a esa sierra en mente, era su objetivo.","El olor a madera fresca impregnaba el aire en la carpintería recién inaugurada. El ruido de los martillos resonaba en el taller mientras los carpinteros daban vida a sus creaciones. La emoción era palpable en el ambiente, con la promesa de proyectos emocionantes y clientes satisfechos en el horizonte."
78,19,2,3,3219,sostén,"[('apoyo', 68), ('ayuda', 64), ('familia', 44), ('emociónes', 18), ('bienestar', 16)]",Era el único sostén que tenía Laura.,"Los tranvías circulan sobre rieles y por la superficie en áreas urbanas, en las propias calles, a menudo sin separación del resto de la circulación, sin vía ni senda o sector reservado."
79,19,2,2,2219,sostén,"[('apoyo', 68), ('ayuda', 64), ('familia', 44), ('emociónes', 18), ('bienestar', 16)]",Era el único sostén que tenía Laura.,"La presencia de un sistema de apoyo puede ayudar a aliviar el estrés, mejorar la autoestima y aumentar la resiliencia en momentos difíciles. Un ambiente de comprensión también puede fomentar la comunicación y las relaciones saludables."
80,20,1,3,3120,taco,"[('calzado', 74), ('tacón', 61), ('pie', 38), ('bota', 31), ('altura', 13)]",Lucía supo que todo había terminado cuando el taco tocó el suelo.,El voltaje​ es una magnitud que cuantifica la diferencia de potencial eléctrico entre dos puntos. Éste es independiente del camino recorrido por la carga y depende exclusivamente del potencial eléctrico de dichos puntos
81,20,1,1,1120,taco,"[('calzado', 74), ('tacón', 61), ('pie', 38), ('bota', 31), ('altura', 13)]",Lucía supo que todo había terminado cuando el taco tocó el suelo.,"El calzado femenino abarca una amplia variedad de estilos. La elección del calzado puede depender de factores como la ocasión, la comodidad y el estilo personal. La elección del calzado adecuado es importante para la salud del pie y la postura del cuerpo."
82,20,2,3,3220,taco,"[('méxico', 85), ('comida', 77), ('burrito', 48), ('guacamole', 32), ('picante', 27)]",Lucía supo que todo había terminado cuando el taco tocó el suelo.,El voltaje​ es una magnitud que cuantifica la diferencia de potencial eléctrico entre dos puntos. Éste es independiente del camino recorrido por la carga y depende exclusivamente del potencial eléctrico de dichos puntos
83,20,2,2,2220,taco,"[('méxico', 85), ('comida', 77), ('burrito', 48), ('guacamole', 32), ('picante', 27)]",Lucía supo que todo había terminado cuando el taco tocó el suelo.,"El guacamole cautiva los sentidos con su explosión de sabores y colores. Su base es de palta, que se mezcla con tomate fresco, cebolla y cilantro. Es un deleite para el paladar, perfecto para acompañar los típicos platos mexicanos."
86,21,2,3,3221,pluma,"[('pájaro', 71), ('ave', 67), ('paloma', 50), ('pelaje', 27), ('ligero', 10)]","Mientras Héctor la miraba fijamente, la pluma cayó al suelo.","Un hijo o una hija es el descendiente directo de una persona. Los hijos pueden ser biológicos o fruto de la adopción. Si hay más de un hijo, se denominan hermanos entre ellos."
87,21,2,2,2221,pluma,"[('pájaro', 71), ('ave', 67), ('paloma', 50), ('pelaje', 27), ('ligero', 10)]","Mientras Héctor la miraba fijamente, la pluma cayó al suelo.","Las aves se caracterizan por tener alas. Son ovíparos, es decir, que ponen huevos para reproducirse. Además, son capaces de realizar vuelos y muchas especies migran grandes distancias en busca de alimento y clima adecuado."
90,23,2,3,3223,regla,"[('norma', 82), ('ley', 59), ('convivencia', 37), ('deber', 32), ('contrato', 26)]",Clara estaba segura de que su regla no estaba rota.,Los deltas se forman en la desembocadura de un río en un lago o en el mar a través de los sedimentos que deposita la corriente. Estos están compuestos por un cúmulo de brazos fluviales formados por los sedimentos que transporta el propio río.
91,23,2,2,2223,regla,"[('norma', 82), ('ley', 59), ('convivencia', 37), ('deber', 32), ('contrato', 26)]",Clara estaba segura de que su regla no estaba rota.,"Las leyes y disposiciones de una jurisdicción son regulaciones que rigen la conducta y actividades dentro de un territorio.  Las leyes pueden establecer las obligaciones de los ciudadanos, así como las consecuencias legales por su incumplimiento. "
94,24,2,3,3224,goma,"[('llanta', 84), ('caucho', 66), ('auto', 46), ('coche', 29), ('vehículo', 23)]",La superficie había quedado marcada por la goma elegida.,"La mesa es un mueble compuesto de un tablero horizontal liso y sostenido a la altura conveniente, generalmente por una o varias patas, para diferentes usos. ​ Puede ser cuadrada, redonda o rectangular etc."
95,24,2,2,2224,goma,"[('llanta', 84), ('caucho', 66), ('auto', 46), ('coche', 29), ('vehículo', 23)]",La superficie había quedado marcada por la goma elegida.,"Las carreras de autos requieren una meticulosa ingeniería en los talleres mecánicos para las paradas técnicas. Los equipos utilizan estrategias precisas y herramientas especializadas para realizar cambios rápidos de neumáticos, reabastecer combustible y hacer ajustes técnicos en los vehículos."
98,25,2,3,3225,raíz,"[('plantas', 69), ('árboles', 64), ('naturaleza', 47), ('tallo', 39), ('vegetales', 18)]",A pesar de todo no era posible encontrar la raíz que estaban buscando.,"El perro, de pelaje dorado y ojos vivaces, corría libre por el parque. Su cola se movía con entusiasmo mientras jugaba con una pelota. Alegre y leal, alegraba los corazones de quienes se cruzaban con su mirada amigable y su ladrido contagioso."
99,25,2,2,2225,raíz,"[('plantas', 69), ('árboles', 64), ('naturaleza', 47), ('tallo', 39), ('vegetales', 18)]",A pesar de todo no era posible encontrar la raíz que estaban buscando.,"El tallo es la columna vertebral de las plantas. Tiene una corteza protectora y una médula conductora, por la cual se conducen los materiales nutritivos. Es una estructura vital que permite el crecimiento y la fortaleza de las plantas."
100,26,1,3,3126,cuarto,"[('fracción', 61), ('porción', 59), ('parte', 58), ('cuatro', 14), ('medida', 9)]",No estaba conforme con el cuarto que le había tocado.,"Justo antes de irse a dormir Bautista recordó que necesita un mapa político A3 para la escuela al día siguiente. Con desesperación, buscó en casa, pero no encontró. Al otro día su madre consiguió uno a primera hora."
101,26,1,1,1126,cuarto,"[('fracción', 61), ('porción', 59), ('parte', 58), ('cuatro', 14), ('medida', 9)]",No estaba conforme con el cuarto que le había tocado.,Las fracciones son una forma de representar una cantidad que es una parte de un todo. Consisten en un numerador que representa la cantidad deseada y un denominador que indica el total de partes iguales en el todo. 
102,26,2,3,3226,cuarto,"[('habitación', 76), ('dormitorio', 76), ('pieza', 61), ('espacio', 17), ('cama', 12)]",No estaba conforme con el cuarto que le había tocado.,"Justo antes de irse a dormir Bautista recordó que necesita un mapa político A3 para la escuela al día siguiente. Con desesperación, buscó en casa, pero no encontró. Al otro día su madre consiguió uno a primera hora."
103,26,2,2,2226,cuarto,"[('habitación', 76), ('dormitorio', 76), ('pieza', 61), ('espacio', 17), ('cama', 12)]",No estaba conforme con el cuarto que le había tocado.,"Los hoteles son establecimientos que ofrecen alojamiento a viajeros y turistas, brindando servicios de hospedaje, alimentación y entretenimiento. Los hoteles pueden variar en tamaño, ubicación, categoría y precio, desde pequeñas posadas rurales hasta grandes cadenas hoteleras en las principales ciudades del mundo."
104,27,1,3,3127,medio,"[('porción', 80), ('parte', 74), ('fracción', 71), ('medida', 32), ('cálculo', 5)]","Esa noche Rodrigo se encontró en el medio, sin saber qué hacer.","La familia se reúne en Argentina para celebrar las navidades. La casa está llena de risas, abrazos y aromas deliciosos. Juntos, disfrutan de asados al aire libre, intercambio de regalos y momentos inolvidables alrededor del árbol de Navidad."
105,27,1,1,1127,medio,"[('porción', 80), ('parte', 74), ('fracción', 71), ('medida', 32), ('cálculo', 5)]","Esa noche Rodrigo se encontró en el medio, sin saber qué hacer.","Los números racionales son aquellos números que se pueden expresar como el cociente o división de dos números enteros. Incluyen a los números enteros y a las fracciones. Se utilizan de formas muy diversas, como en la representación de cantidades, medidas, y cálculos en la vida cotidiana."
106,27,2,3,3227,medio,"[('posición', 74), ('centro', 65), ('lugar', 59), ('simétrico', 17), ('adelante', 15)]","Esa noche Rodrigo se encontró en el medio, sin saber qué hacer.","La familia se reúne en Argentina para celebrar las navidades. La casa está llena de risas, abrazos y aromas deliciosos. Juntos, disfrutan de asados al aire libre, intercambio de regalos y momentos inolvidables alrededor del árbol de Navidad."
107,27,2,2,2227,medio,"[('posición', 74), ('centro', 65), ('lugar', 59), ('simétrico', 17), ('adelante', 15)]","Esa noche Rodrigo se encontró en el medio, sin saber qué hacer.","El ambiente natural se refiere al entorno en su estado original y sin intervención humana significativa. Incluye elementos como el aire, el agua, el suelo, la flora, la fauna y los ecosistemas. Juega un papel fundamental en la vida de las especies, incluyendo a los humanos. "
110,28,2,3,3228,cuenta,"[('bancario', 72), ('dinero', 71), ('sueldo', 64), ('ahorro', 24), ('balance', 12)]",Andrea miró su cuenta y no tenía los valores que esperaba.,"La Patagonia tiene una temperatura templada a frío, que disminuyen notablemente de norte a sur. Siendo así que, en promedio, el sur patagónico presenta hasta 10 °C menos que el norte."
111,28,2,2,2228,cuenta,"[('bancario', 72), ('dinero', 71), ('sueldo', 64), ('ahorro', 24), ('balance', 12)]",Andrea miró su cuenta y no tenía los valores que esperaba.,"Las cajas de ahorros son instituciones financieras que brindan servicios de ahorro y depósito a personas y empresas. Ofrecen opciones para guardar dinero, generar intereses y acceder a servicios bancarios básicos."
114,29,2,3,3229,nota,"[('calificación', 70), ('examen', 61), ('calificaciones', 45), ('boletín', 23), ('sobresaliente', 22)]",Iván los miró antes de dar la nota que estaban esperando.,"El curling, hispanizado como curlin, ​ es un deporte de precisión y de equipo, con alguna similitud con los bolos ingleses, bolas criollas y a la petanca, que se practica en una pista de hielo."
115,29,2,2,2229,nota,"[('calificación', 70), ('examen', 61), ('calificaciones', 45), ('boletín', 23), ('sobresaliente', 22)]",Iván los miró antes de dar la nota que estaban esperando.,"Los resultados de una evaluación brindan información sobre el desempeño, logros o competencias alcanzadas por un individuo o grupo en un área específica. Los resultados pueden reflejar fortalezas, áreas de mejora y orientar futuras acciones."
116,30,1,3,3130,órgano,"[('instrumento', 66), ('piano', 52), ('teclado', 50), ('música', 48), ('iglesia', 13)]","Por temor a perderlo, Víctor cuidaba su órgano con mucho esfuerzo.","La pesca con mosca es una modalidad de pesca que utiliza una caña y señuelo artificial llamado mosca. La pesca con mosca se practica usualmente en lagos, ríos y en el mar. También es conocida como pesca con cola de rata."
117,30,1,1,1130,órgano,"[('instrumento', 66), ('piano', 52), ('teclado', 50), ('música', 48), ('iglesia', 13)]","Por temor a perderlo, Víctor cuidaba su órgano con mucho esfuerzo.","Al entrar a la iglesia, los sonidos de los cánticos, las campanas y el eco reverberando en el techo generaron en él una sensación abrumadora. Se sintió inmerso en una atmósfera sagrada."
128,33,1,3,3133,partido,"[('política', 71), ('agrupaciones', 59), ('militancia', 54), ('sociedad', 20), ('congreso', 6)]",Recordó el histórico partido del que le hablaba su abuelo.,"La Ciudad del Vaticano, una ciudad ubicada dentro de Roma, Italia, es la sede central de la Iglesia Católica Romana. Es el hogar del Papa y es un tesoro de la arquitectura y el arte icónicos."
129,33,1,1,1133,partido,"[('política', 71), ('agrupaciones', 59), ('militancia', 54), ('sociedad', 20), ('congreso', 6)]",Recordó el histórico partido del que le hablaba su abuelo.,"Las elecciones se acercaban rápidamente. La ciudadanía estaba ansiosa y la atmósfera era eléctrica. Los candidatos competían ferozmente, haciendo promesas y presentando sus ideas de futuro."
130,33,2,3,3233,partido,"[('deporte', 92), ('juego', 84), ('competencia', 83), ('ganador', 10), ('premio', 6)]",Recordó el histórico partido del que le hablaba su abuelo.,"La Ciudad del Vaticano, una ciudad ubicada dentro de Roma, Italia, es la sede central de la Iglesia Católica Romana. Es el hogar del Papa y es un tesoro de la arquitectura y el arte icónicos."
131,33,2,2,2233,partido,"[('deporte', 92), ('juego', 84), ('competencia', 83), ('ganador', 10), ('premio', 6)]",Recordó el histórico partido del que le hablaba su abuelo.,"El histórico enfrentamiento entre River Plate y Boca Juniors en la final de la Libertadores 2018 en Madrid fue una batalla épica que reunió a miles de fanáticos en un estadio cargado de emoción, culminando en una victoria inolvidable para River en tierras lejanas."
132,34,1,3,3134,campaña,"[('política', 65), ('elecciones', 64), ('candidato', 59), ('presidente', 23), ('diputados', 7)]","Desde antes de empezarla, esa campaña ya era un fracaso.","La Pascua​ de Resurrección es la fiesta central del cristianismo, ​​ en la que se conmemora la resurrección de Jesucristo al tercer día después de haber sido crucificado, de acuerdo con los evangelios canónicos."
133,34,1,1,1134,campaña,"[('política', 65), ('elecciones', 64), ('candidato', 59), ('presidente', 23), ('diputados', 7)]","Desde antes de empezarla, esa campaña ya era un fracaso.","El candidato subió al estrado con seguridad, micrófono en mano. Miró a la multitud expectante y expuso apasionadamente sus ideas para el futuro del país. Sus palabras resonaron en el auditorio, generando aplausos y ovaciones."
134,34,2,3,3234,campaña,"[('camping', 63), ('carpa', 49), ('fogón', 38), ('campo', 25), ('fogata', 21)]","Desde antes de empezarla, esa campaña ya era un fracaso.","La Pascua​ de Resurrección es la fiesta central del cristianismo, ​​ en la que se conmemora la resurrección de Jesucristo al tercer día después de haber sido crucificado, de acuerdo con los evangelios canónicos."
135,34,2,2,2234,campaña,"[('camping', 63), ('carpa', 49), ('fogón', 38), ('campo', 25), ('fogata', 21)]","Desde antes de empezarla, esa campaña ya era un fracaso.","En lo alto de la montaña, el campamento se asentaba en un claro rodeado de pinos. Las fogatas iluminaban las caras sonrientes de los aventureros mientras compartían historias junto a la luz de las estrellas. "
136,35,1,3,3135,estado,"[('gobierno', 63), ('nación', 53), ('país', 43), ('política', 39), ('sociedad', 27)]","Para Elsa, el estado era desastroso.","Los logaritmos fueron introducidos por John Napier a principios del siglo xvii como una simplificación de los cálculos y fueron prontamente adoptados por científicos, ingenieros, banqueros y otros para realizar operaciones fácil y rápidamente, usando tablas de logaritmos."
137,35,1,1,1135,estado,"[('gobierno', 63), ('nación', 53), ('país', 43), ('política', 39), ('sociedad', 27)]","Para Elsa, el estado era desastroso.","A lo largo de la historia, las naciones se forjaron a través de complejos procesos de evolución social y cultural. Las naciones actuales se han moldeado a través de un intrincado tejido de eventos que han dejado una huella indeleble en su formación."
142,36,2,3,3236,pastor,"[('campo', 69), ('ganado', 58), ('ovejas', 52), ('trabajador', 43), ('agricultura', 20)]",El pastor caminaba mientras cantaba alegremente.,"El Fondo Monetario Internacional es una organización financiera internacional con sede en Estados Unidos. Nació en 1944 luego de la Segunda Guerra Mundial, entrando en vigor oficialmente el 27 de diciembre de 1945 con 29 países miembros con el objetivo de reconstruir el sistema monetario internacional. "
143,36,2,2,2236,pastor,"[('campo', 69), ('ganado', 58), ('ovejas', 52), ('trabajador', 43), ('agricultura', 20)]",El pastor caminaba mientras cantaba alegremente.,"El dueño de la estancia, con su sombrero de vaquero y botas embarradas, supervisaba a sus animales. Conocía cada rincón de su terreno y cuidaba con dedicación a las crías. El trabajo duro y la pasión por la naturaleza lo hacían feliz y orgulloso de su labor."
148,38,1,3,3138,función,"[('teatro', 78), ('obra', 77), ('actores', 46), ('drama', 25), ('personajes', 10)]",Ya había visto esa función en algún otro lado.,"El gato se asusta repentinamente y se esconde debajo de la mesa, con los ojos bien abiertos y el corazón latiendo rápido. Busca refugio en la penumbra, esperando que pase el peligro y recuperando su calma poco a poco."
149,38,1,1,1138,función,"[('teatro', 78), ('obra', 77), ('actores', 46), ('drama', 25), ('personajes', 10)]",Ya había visto esa función en algún otro lado.,"La cortina se abrió, pero los actores olvidaron sus líneas, el escenógrafo confundió los decorados y el sonido se cortó. La audiencia murmuró incómoda, los actores se tambaleaban en el escenario, y la escena se convirtió en un caos improvisado. "
